period_set_id,period_id,center_token,neighbor_token,direction,joint_count,raw_joint_event_count,center_marginal_count,neighbor_marginal_count,event_total,raw_event_total,center_raw_count,neighbor_raw_count,pmi,ppmi,distinct_context_count,distinct_article_count,avg_distance,pos_pair_json,rank_by_count,rank_by_pmi
long_period_manual,long_period_manual_p005,憲法,規定,U,926,926,34182,6025,167111,167111,34182,6025,0.5876208413221093,0.5876208413221093,,,3.7419006479481642,,1,6708
long_period_manual,long_period_manual_p005,實施,憲政,U,729,729,5766,12558,167111,167111,5766,12558,1.7505479615135342,1.7505479615135342,,,2.034293552812071,,2,4855
long_period_manual,long_period_manual_p005,憲法,新,U,693,693,34182,4655,167111,167111,34182,4655,0.541644073757617,0.541644073757617,,,2.712842712842713,,3,6779
long_period_manual,long_period_manual_p005,憲政,民主,U,555,555,12558,7320,167111,167111,12558,7320,1.0128441067475673,1.0128441067475673,,,3.151351351351351,,4,6054
long_period_manual,long_period_manual_p005,制定,憲法,U,526,526,3009,34182,167111,167111,3009,34182,0.7733485820255249,0.7733485820255249,,,3.1482889733840302,,5,6423
long_period_manual,long_period_manual_p005,國民大會,憲法,U,492,492,4959,34182,167111,167111,4959,34182,-0.04382102060767077,0,,,5.054878048780488,,6,7492
long_period_manual,long_period_manual_p005,憲法,政府,U,480,480,34182,10217,167111,167111,34182,10217,-1.122295442286447,0,,,5.825,,7,8109
long_period_manual,long_period_manual_p005,人民,憲法,U,452,452,6154,34182,167111,167111,6154,34182,-0.4776317818517979,0,,,5.710176991150442,,8,7855
long_period_manual,long_period_manual_p005,憲法,民主,U,398,398,34182,7320,167111,167111,34182,7320,-0.9115053285611968,0,,,4.552763819095477,,9,8041
long_period_manual,long_period_manual_p005,修改,憲法,U,388,388,1468,34182,167111,167111,1468,34182,1.3697745734104743,1.3697745734104743,,,3.597938144329897,,10,5474
long_period_manual,long_period_manual_p005,制憲,議會,U,383,383,4125,3204,167111,167111,4125,3204,3.2758109211540756,3.2758109211540756,,,1.8537859007832898,,11,2864
long_period_manual,long_period_manual_p005,實施,憲法,U,376,376,5766,34182,167111,167111,5766,34182,-0.6492682857507099,0,,,3.752659574468085,,12,7939
long_period_manual,long_period_manual_p005,政治,民主,U,333,333,3907,7320,167111,167111,3907,7320,1.9603520693745535,1.9603520693745535,,,3.21021021021021,,13,4566
long_period_manual,long_period_manual_p005,國家,憲法,U,321,321,4432,34182,167111,167111,4432,34182,-0.4978146948603258,0,,,5.35202492211838,,14,7871
long_period_manual,long_period_manual_p005,國,憲法,U,311,311,4035,34182,167111,167111,4035,34182,-0.40808420396798084,0,,,5.504823151125402,,15,7824
long_period_manual,long_period_manual_p005,憲法,通過,U,306,306,34182,3233,167111,167111,34182,3233,-0.11177196536687432,0,,,4.790849673202614,,16,7552
long_period_manual,long_period_manual_p005,問題,憲法,U,300,300,3425,34182,167111,167111,3425,34182,-0.22357159817281128,0,,,5.133333333333334,,17,7657
long_period_manual,long_period_manual_p005,憲法,選舉,U,298,298,34182,3481,167111,167111,34182,3481,-0.25661959419496166,0,,,5.761744966442953,,18,7687
long_period_manual,long_period_manual_p005,憲政,政府,U,294,294,12558,10217,167111,167111,12558,10217,-0.3848835984436566,0,,,5.462585034013605,,19,7808
long_period_manual,long_period_manual_p005,憲法,總統,U,289,289,34182,3076,167111,167111,34182,3076,-0.1224161213945884,0,,,5.695501730103806,,20,7561
long_period_manual,long_period_manual_p005,主席,蔣,U,273,273,2424,833,167111,167111,2424,833,5.497857647739723,5.497857647739723,,,1.8131868131868132,,21,1255
long_period_manual,long_period_manual_p005,國大,憲法,U,259,259,3267,34182,167111,167111,3267,34182,-0.36744446768494987,0,,,5.370656370656371,,22,7788
long_period_manual,long_period_manual_p005,代表,憲法,U,253,253,4229,34182,167111,167111,4229,34182,-0.7736092862679324,0,,,6.221343873517786,,23,7991
long_period_manual,long_period_manual_p005,憲法,法律,U,240,240,34182,1457,167111,167111,34182,1457,0.6876034176105653,0.6876034176105653,,,5.7125,,24,6567
long_period_manual,long_period_manual_p005,人,憲法,U,227,227,3110,34182,167111,167111,3110,34182,-0.4866523936604906,0,,,6.5198237885462555,,25,7863
long_period_manual,long_period_manual_p005,憲政,憲法,U,210,210,12558,34182,167111,167111,12558,34182,-2.6125755952441834,0,,,5.90952380952381,,26,8254
long_period_manual,long_period_manual_p005,人民,國家,U,209,209,6154,4432,167111,167111,6154,4432,1.356755413356519,1.356755413356519,,,5.315789473684211,,27,5496
long_period_manual,long_period_manual_p005,人民,政府,U,209,209,6154,10217,167111,167111,6154,10217,0.15181355744418235,0.15181355744418235,,,4.966507177033493,,28,7279
long_period_manual,long_period_manual_p005,憲政,政治,U,208,208,12558,3907,167111,167111,12558,3907,0.502722256638923,0.502722256638923,,,5.774038461538462,,29,6820
long_period_manual,long_period_manual_p005,召開,國民大會,U,205,205,1794,4959,167111,167111,1794,4959,2.945129590231084,2.945129590231084,,,3.0341463414634147,,30,3203
long_period_manual,long_period_manual_p005,憲法,政治,U,201,201,34182,3907,167111,167111,34182,3907,-0.9912958649381852,0,,,6.114427860696518,,31,8068
long_period_manual,long_period_manual_p005,憲法,施行,U,200,200,34182,581,167111,167111,34182,581,1.750959820436755,1.750959820436755,,,3.885,,32,4853
long_period_manual,long_period_manual_p005,憲法,美國,U,199,199,34182,698,167111,167111,34182,698,1.479039378400556,1.479039378400556,,,3.9396984924623117,,33,5279
long_period_manual,long_period_manual_p005,國家,民主,U,198,198,4432,7320,167111,167111,4432,7320,1.0284336965173857,1.0284336965173857,,,4.545454545454546,,34,6026
long_period_manual,long_period_manual_p005,地方,自治,U,198,198,1473,1523,167111,167111,1473,1523,4.8825618542148375,4.8825618542148375,,,2.808080808080808,,35,1537
long_period_manual,long_period_manual_p005,國家,憲政,U,196,196,4432,12558,167111,167111,4432,12558,0.23509575674752373,0.23509575674752373,,,5.433673469387755,,36,7175
long_period_manual,long_period_manual_p005,省,縣,U,195,195,1769,952,167111,167111,1769,952,5.274241393409578,5.274241393409578,,,3.374358974358975,,37,1337
long_period_manual,long_period_manual_p005,制定,國民大會,U,192,192,3009,4959,167111,167111,3009,4959,2.104507775032719,2.104507775032719,,,4.119791666666667,,38,4346
