period_set_id,period_id,center_token,neighbor_token,direction,joint_count,raw_joint_event_count,center_marginal_count,neighbor_marginal_count,event_total,raw_event_total,center_raw_count,neighbor_raw_count,pmi,ppmi,distinct_context_count,distinct_article_count,avg_distance,pos_pair_json,rank_by_count,rank_by_pmi
global_all,global_all_p000,憲法,新,U,1236,1236,14834,3317,107706,107706,14834,3317,2.4359187725025,2.4359187725025,,,1,,1,2300
global_all,global_all_p000,立憲,預備,U,1223,1223,4911,1473,107706,107706,4911,1473,5.186604961359221,5.186604961359221,,,1,,2,1538
global_all,global_all_p000,地方,自治,U,1039,1039,2327,2019,107706,107706,2327,2019,5.574038343230383,5.574038343230383,,,1,,3,1390
global_all,global_all_p000,制定,憲法,U,1020,1020,1521,14834,107706,107706,1521,14834,3.2836680405205088,3.2836680405205088,,,1,,4,2104
global_all,global_all_p000,實施,憲政,U,762,762,1250,5608,107706,107706,1250,5608,4.549403268996242,4.549403268996242,,,1,,5,1688
global_all,global_all_p000,憲政,籌備,U,667,667,5608,1416,107706,107706,5608,1416,4.177405862153957,4.177405862153957,,,1,,6,1803
global_all,global_all_p000,憲法,規定,U,576,576,14834,1207,107706,107706,14834,1207,2.7928340820734388,2.7928340820734388,,,1,,7,2217
global_all,global_all_p000,國會,議員,U,509,509,4674,2706,107706,107706,4674,2706,3.1158727983793257,3.1158727983793257,,,1,,8,2147
global_all,global_all_p000,修改,憲法,U,489,489,640,14834,107706,107706,640,14834,3.471881601451019,3.471881601451019,,,1,,9,2048
global_all,global_all_p000,問題,憲法,U,479,479,2410,14834,107706,107706,2410,14834,1.5291834560050042,1.5291834560050042,,,1,,10,2452
global_all,global_all_p000,制度,地方,U,464,464,1018,2327,107706,107706,1018,2327,5.398942748709521,5.398942748709521,,,1,,11,1462
global_all,global_all_p000,總統,選舉,U,451,451,1739,2186,107706,107706,1739,2186,4.675602815339882,4.675602815339882,,,1,,12,1652
global_all,global_all_p000,國,憲法,U,390,390,2370,14834,107706,107706,2370,14834,1.2567780113501368,1.2567780113501368,,,1,,13,2493
global_all,global_all_p000,國會,新,U,390,390,4674,3317,107706,107706,4674,3317,2.437964093241756,2.437964093241756,,,1,,14,2298
global_all,global_all_p000,國會,解散,U,380,380,4674,663,107706,107706,4674,663,4.723287624498528,4.723287624498528,,,1,,15,1639
global_all,global_all_p000,人民,國,U,379,379,1912,2370,107706,107706,1912,2370,4.1712549814677145,4.1712549814677145,,,1,,16,1806
global_all,global_all_p000,憲法,省,U,375,375,14834,2760,107706,107706,14834,2760,0.9804132751038596,0.9804132751038596,,,1,,17,2529
global_all,global_all_p000,實行,憲政,U,365,365,1206,5608,107706,107706,1206,5608,3.5392069229196648,3.5392069229196648,,,1,,18,2030
global_all,global_all_p000,憲法,起草,U,364,364,14834,663,107706,107706,14834,663,2.995048621472256,2.995048621472256,,,1,,19,2177
global_all,global_all_p000,國會,舊,U,361,361,4674,594,107706,107706,4674,594,4.807832982366572,4.807832982366572,,,1,,20,1618
global_all,global_all_p000,政體,立憲,U,354,354,632,4911,107706,107706,632,4911,4.618762789773578,4.618762789773578,,,1,,21,1673
global_all,global_all_p000,人數,法定,U,349,349,588,529,107706,107706,588,529,7.917026064322255,7.917026064322255,,,1,,22,762
global_all,global_all_p000,國會,開,U,349,349,4674,1666,107706,107706,4674,1666,3.271207617124272,3.271207617124272,,,1,,23,2106
global_all,global_all_p000,州,縣,U,328,328,654,946,107706,107706,654,946,6.835447900843599,6.835447900843599,,,1,,24,1008
global_all,global_all_p000,制憲,議會,U,324,324,2467,934,107706,107706,2467,934,4.920768357937833,4.920768357937833,,,1,,25,1594
global_all,global_all_p000,公布,憲法,U,320,320,512,14834,107706,107706,512,14834,3.1820471362735097,3.1820471362735097,,,1,,26,2128
global_all,global_all_p000,實行,立憲,U,320,320,1206,4911,107706,107706,1206,4911,3.540851890854961,3.540851890854961,,,1,,27,2029
global_all,global_all_p000,時期,訓政,U,320,320,832,700,107706,107706,832,700,6.8870163599769345,6.8870163599769345,,,1,,28,991
global_all,global_all_p000,憲政,民主,U,305,305,5608,1360,107706,107706,5608,1360,3.1067429573649163,3.1067429573649163,,,1,,29,2151
global_all,global_all_p000,省,督撫,U,301,301,2760,301,107706,107706,2760,301,6.286286543397462,6.286286543397462,,,1,,30,1217
global_all,global_all_p000,內閣,新,U,288,288,912,3317,107706,107706,912,3317,4.358110785552541,4.358110785552541,,,1,,31,1752
global_all,global_all_p000,大法,根本,U,277,277,293,685,107706,107706,293,685,8.215764228842044,8.215764228842044,,,1,,32,677
global_all,global_all_p000,事宜,籌備,U,276,276,638,1416,107706,107706,638,1416,6.040245387993295,6.040245387993295,,,1,,33,1278
global_all,global_all_p000,機關,立法,U,275,275,1065,769,107706,107706,1065,769,6.1765494003999875,6.1765494003999875,,,1,,34,1249
global_all,global_all_p000,憲政,時期,U,271,271,5608,832,107706,107706,5608,832,3.645177784265149,3.645177784265149,,,1,,35,1995
